Models,Accuracy,Precision,Recall,F1
NB,0.94561+-0.0023,0.88831+-0.0108,0.79827+-0.0037,0.84086+-0.0060
RF,0.94533+-0.0006,0.88165+-0.0173,0.80514+-0.0190,0.84127+-0.0023
LR,0.95489+-0.0015,0.88405+-0.0083,0.86263+-0.0032,0.87318+-0.0039
SVM,0.95852+-0.0011,0.88739+-0.0094,0.88165+-0.0106,0.88441+-0.0031
CNN_George,0.95931+-0.0010,0.90748+-0.0105,0.86202+-0.0101,0.88406+-0.0029
CNN_GRU,0.96061+-0.0009,0.91539+-0.0066,0.86080+-0.0059,0.88722+-0.0027
BGRU_P,0.96093+-0.0012,0.92552+-0.0064,0.85149+-0.0036,0.88695+-0.0035
BLSTM,0.96049+-0.0015,0.92043+-0.0087,0.85446+-0.0085,0.88616+-0.0046
BGRU,0.96075+-0.0016,0.90823+-0.0166,0.87042+-0.0106,0.88872+-0.0031
CNN_RUT,0.96058+-0.0016,0.91947+-0.0065,0.85607+-0.0106,0.88657+-0.0052
CNN_gram,0.95903+-0.0009,0.90821+-0.0180,0.86004+-0.0185,0.88310+-0.0031
MCBiGRU,0.95756+-0.0016,0.91744+-0.0098,0.83996+-0.0094,0.87691+-0.0048
CNN_George-w2v,0.94999+-0.0015,0.89602+-0.0064,0.81705+-0.0112,0.85464+-0.0053
CNN_GRU-w2v,0.95221+-0.0012,0.89279+-0.0137,0.83522+-0.0129,0.86286+-0.0032
BGRU_P-w2v,0.96008+-0.0014,0.91862+-0.0078,0.85401+-0.0131,0.88502+-0.0049
BLSTM-w2v,0.95488+-0.0027,0.90168+-0.0150,0.84141+-0.0112,0.87037+-0.0074
BGRU-w2v,0.95647+-0.0008,0.91424+-0.0131,0.83713+-0.0155,0.87376+-0.0033
CNN_RUT-w2v,0.95593+-0.0017,0.91568+-0.0030,0.83171+-0.0097,0.87165+-0.0058
CNN_gram-w2v,0.94528+-0.0015,0.87702+-0.0109,0.80980+-0.0140,0.84190+-0.0052
MCBiGRU-w2v,0.94878+-0.0015,0.90164+-0.0116,0.80346+-0.0190,0.84945+-0.0065
CNN_George-ft,0.94290+-0.0018,0.87228+-0.0255,0.80155+-0.0202,0.83481+-0.0024
CNN_GRU-ft,0.94651+-0.0011,0.87756+-0.0093,0.81713+-0.0171,0.84606+-0.0054
BGRU_P-ft,0.95362+-0.0019,0.89907+-0.0088,0.83645+-0.0185,0.86643+-0.0071
BLSTM-ft,0.94736+-0.0020,0.87741+-0.0040,0.82247+-0.0107,0.84902+-0.0066
BGRU-ft,0.94654+-0.0013,0.87300+-0.0121,0.82309+-0.0134,0.84713+-0.0038
CNN_RUT-ft,0.95035+-0.0015,0.88981+-0.0099,0.82675+-0.0139,0.85697+-0.0053
CNN_gram-ft,0.93732+-0.0020,0.85764+-0.0184,0.78246+-0.0195,0.81793+-0.0060
MCBiGRU-ft,0.94756+-0.0012,0.89166+-0.0081,0.80682+-0.0117,0.84702+-0.0045
hfFineTuneBert,0.96434+-0.0011,0.92285+-0.0121,0.87531+-0.0098,0.89833+-0.0029
hfFineTuneDistilBert,0.96211+-0.0014,0.92469+-0.0110,0.85989+-0.0192,0.89086+-0.0056
hfFineTuneRoberta,0.96523+-0.0015,0.92691+-0.0097,0.87607+-0.0103,0.90069+-0.0045
hfFineTuneMuril,0.96627+-0.0014,0.91780+-0.0078,0.89280+-0.0168,0.90496+-0.0051
hfFineTuneMT5,0.96374+-0.0015,0.91589+-0.0076,0.87943+-0.0090,0.89724+-0.0045
